from,to,value,gas,gas_used,input,tx_hash,fuzz_string,victim_balance_before_tx,victim_balance_after_tx,attacker_balance_before_tx,attacker_balance_after_tx
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x2c20Ad8a16234C957CdB858151C7502AB71CEc25,0,3000000,144369,0x8f088f92000000000000000000000000c91f4bdeb8269dd85b49fada7ed2fcccf606534d,0x08b432d14aa8e1c3b3fe371089debc73d3ec1449ad0ea255039929f1bb48ce5d,"safes.sol,safe,26",100000000000000000000,10000000000000000000,0,0
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x724BF0CbE89f570E350522516a3F8252A7901B15,0,3000000,492191,0x8f088f9200000000000000000000000011f1c8013c665bbea3b5cd7f9a740e0869ab9029,0xf680183493cd0ffe0a2c4c81e7dd24c93f51b0b203a660701695142cbec3d4ee,"vulnerables.sol,vul,27",10000000000000000000,85000000000000000000,0,15000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x8415323d370c927fb0b1A8DBb49d472878793375,0,3000000,144369,0x8f088f9200000000000000000000000043d575a7a3237cfae415d4ff59d7b729d1de7d24,0xff6177bd03b585b0f679e9271c3fa6c8a75943d2d7bad5dcdfcfc122b1cc684a,"safes.sol,safe,28",10000000000000000000,10000000000000000000,0,0
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x4AF057b93b59006FCED42B124D9Ca8Adc4a882Cc,0,3000000,144369,0x8f088f92000000000000000000000000442b74044dd5b6847896e31dd0fd3497bb501e08,0x55439defad2095b6e4fc15cbee046c75456b590e3616019d74724189bcefdfa4,"safes.sol,safe,29",100000000000000000000,10000000000000000000,0,0
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x73fe68c26F47F3C5bbcC0EE15e9a3F148bec745b,0,3000000,435413,0x8f088f92000000000000000000000000e038181ad82ac332ceba188d0e9fdbdd2bfe851f,0xefefa5359fb6ba0d3796bf70b6c01d69ab789d7cee276c6cb845c8dee8732466,"vulnerables.sol,vul,30",10000000000000000000,88000000000000000000,0,12000000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x2Ea16EF1ce24EFfe888F1ac82767b5f086F8a06e,0,3000000,144369,0x8f088f9200000000000000000000000025161479e5f79c5aa7beeea2ae247e6d232e64e2,0x66e83c92bf76ac105ff05affd801675cc50fa3b74433810726db10d89cbd6159,"safes.sol,safe,31",10000000000000000000,10000000000000000000,0,0
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x1d7633eeb0e8a18684f7F98992CeE2f9Bc38c410,0,3000000,144369,0x8f088f92000000000000000000000000790e255a09ec68badb4c84efff66513c65fc0dd7,0x3bdd3ff2ad618c7d2a7e2f627300fa30bafe11eb0b978b001c38c0e2ada561fe,"safes.sol,safe,32",100000000000000000000,10000000000000000000,0,0
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0xC5F5310F9017E0Ac7f63BE62d15e53eEea16b829,0,3000000,302196,0x8f088f920000000000000000000000006b1223f81205d59d945bf6846a74b7162f7e1630,0xb8a22cff0366b4e51eb303aedd21a5f6d5965c15f826299266a900fd3c9d1a83,"vulnerables.sol,vul,33",100000000000000000000,73000000000000000000,0,27000000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0x4ffb96550056965a161c05cC3Bc7be3f15B45F73,0,3000000,321857,0x8f088f92000000000000000000000000d4ed1b6346604d83be5752564cce038609e3489c,0x171df5526a09f0c6420a043ccc73f0686dee8127513dc7aa7ee8402658be36af,"vulnerables.sol,vul,34",10000000000000000000,94000000000000000000,0,6000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xC6a5ce705A7DeDa4Fe500c3f2bFC97f697b04E1B,0,3000000,225983,0x8f088f92000000000000000000000000877a916cb88988412e68e3a4676e15e0c042f412,0x035abf84d132d38f9b5080eb15874f86fabc1a1443274a7a75cd0ed9d0a0cf3a,"safes.sol,safe,35",100000000000000000000,5500000000000000000,0,4500000000000000000
