from,to,value,gas,input,tx_hash,fuzz_string
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x7E4038a10b8687EAc319a664cb73773Cd3aafDc2,0,537059,0x8f088f920000000000000000000000006b718ef5cc7cc9c36abf67170bd1e9c76882d36f,0x242cccceb5ec670bd8207008df07a8dc48135c1fe090daf753bfdf6612dcd6c1,"2_safe.sol,2_safe_attacker.sol,safe"
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x194249a11D25820575964732D4Ac783DE8AE3D1b,0,761931,0x8f088f92000000000000000000000000112e7e14d853616b6265c8778da6ea14dd493673,0x10c5e7d34020fd369a182025abf0cb68152a8a67ccfe5e4300e52cfd5df6596e,"4.sol,4_attacker.sol,vul"
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0xA61351Ab230bedC86B1Ef7d7Df3029C6770109bF,0,202467,0x8f088f92000000000000000000000000498380569d836457fbabf8c12aa2708521441e60,0x899a4902d30952b44c5e5ad469a5043206b6023545fe48fb1b63be775658d52c,"1.sol,1_attacker.sol,vul"
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x13b909426e9dd7EE1C48C1a450B6c8208198c572,0,118615,0x8f088f92000000000000000000000000bd5f6e120ea872115d642e6e8b499aebc1a75df7,0xfb1289f239e5b24db4f922e8b205c14f318958c4e36d0d9314312444ac5c7c80,"3_safe.sol,3_safe_attacker.sol,safe"
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x7108d54c4432748Ec7E0432b71b3Cbf8028ea518,0,66939,0x8f088f92000000000000000000000000b94934e5b3e5964aec4dacd6091669eefd211e1c,0x5e218c03293260210f5068ea7dc1a50286ed3b69a54c13dc98eb493c937ef2e5,"1_safe.sol,1_safe_attacker.sol,safe"
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0xB60D61d350add68825d3d7cD65864f07fAa27f99,0,79473,0x8f088f92000000000000000000000000498380569d836457fbabf8c12aa2708521441e60,0x19bb392d1675d6f24f9d37854a3d53693f3e4a601afe8e20571c188b1e81407d,"1.sol,1_attacker_benign.sol,vul"
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x29403e141E485643086189D46461d2cC92ff34B8,0,344694,0x8f088f920000000000000000000000009d1d421f0aa6ce62533553d2b68e92c3adbc0294,0x8b7cbfd67434bbfc01b9da5448514b2318ad3313c782b6aad7da9701b42dc1fb,"2.sol,2_attacker_benign.sol,safe"
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x612cCe50009b27C6AcbB09522F6c51e0ADc9D1A1,0,304415,0x8f088f920000000000000000000000003e14af473cca0da1687d634e35ff9d1782dd9966,0x9de2254aabe315fc99e925dbb153558ad64f7adeb8c68707f81d20838310a51a,"4_safe.sol,4_safe_attacker.sol,safe"
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x17104D098CEf4121D01cFaF7c4cDd2efC79671f3,0,384003,0x8f088f9200000000000000000000000023d67de485895b80691bdce107a2fe44e821c8d3,0x4423996d70c86736c261765efec6178e6c821f35c02e90dbd8e44cce72132af6,"3.sol,3_attacker.sol,vul"
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x92c94F520bdf5Ca0b320B8884ce199eC398D7e4d,0,66939,0x8f088f92000000000000000000000000b94934e5b3e5964aec4dacd6091669eefd211e1c,0x003ad052784e3372782da3a06f59f500ae1105b5b82a7520ff3247c15c483a84,"1_safe.sol,1_safe_attacker_benign.sol,safe"
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0xfc650A97F83C9767E108d162073983DB674429c0,0,804264,0x8f088f920000000000000000000000009d1d421f0aa6ce62533553d2b68e92c3adbc0294,0x0f905e06dc8dad4f9faa1f47ec8f85de5e0dc2f96f73ecf63c427ef0755881a8,"2.sol,2_attacker.sol,vul"
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0xCeCD54688c33Fb76BCE24C732AD0E4d1c59ff098,0,310505,0x8f088f92000000000000000000000000112e7e14d853616b6265c8778da6ea14dd493673,0x506c0d097bdcefe694f2498e9b2a1093687f476b3f493ac1f165e883a050f758,"4.sol,4_attacker_benign.sol,safe"
