from,to,value,gas,gas_used,input,tx_hash,fuzz_string,victim_balance_before_tx,victim_balance_after_tx,attacker_balance_before_tx,attacker_balance_after_tx
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0xB60D61d350add68825d3d7cD65864f07fAa27f99,0,103224,102681,0x8f088f92000000000000000000000000498380569d836457fbabf8c12aa2708521441e60,0x6309c3c5fb5be5d35b5c34ac7a54e4b81d398f999439b6563370a59a23297c6e,"1.sol,1_attacker_benign.sol,vul",4050000000000000000,250000000000000000,0,40000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0xA61351Ab230bedC86B1Ef7d7Df3029C6770109bF,0,163682,159601,0x8f088f92000000000000000000000000498380569d836457fbabf8c12aa2708521441e60,0x8171df84bfd260c993e21dadce4dd91de865b01a6f6b8d4aa48de73d8c3f8800,"1.sol,1_attacker.sol,vul",5000000000000000000,5000000000000000000,0,0
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x92c94F520bdf5Ca0b320B8884ce199eC398D7e4d,0,66939,66939,0x8f088f92000000000000000000000000b94934e5b3e5964aec4dacd6091669eefd211e1c,0xff243abd7cd740176cc9e19443e6500bf7e3ea43e85b89979014815988f849fc,"1_safe.sol,1_safe_attacker_benign.sol,safe",5000000000000000000,6000000000000000000,3000000000000000000,2000000000000000000
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x29403e141E485643086189D46461d2cC92ff34B8,0,418837,415370,0x8f088f920000000000000000000000009d1d421f0aa6ce62533553d2b68e92c3adbc0294,0xb63ffeee37f79d8761d04706c7b5b15ec6bc44f9d9a3ffe787567c67c12b1830,"2.sol,2_attacker_benign.sol,safe",6000000000000000000,8000000000000000000,5000000000000000000,3000000000000000000
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xfc650A97F83C9767E108d162073983DB674429c0,0,804264,776517,0x8f088f920000000000000000000000009d1d421f0aa6ce62533553d2b68e92c3adbc0294,0x24543287c3c5f3c886c8627f579faf52db744e24eed45fb1adfd0ec2c20d1653,"2.sol,2_attacker.sol,vul",5000000000000000000,7000000000000000000,3000000000000000000,1000000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x13b909426e9dd7EE1C48C1a450B6c8208198c572,0,118615,117977,0x8f088f92000000000000000000000000bd5f6e120ea872115d642e6e8b499aebc1a75df7,0xab36a87a4c4a81fd390c08f03c2786df61be8bbc92ef68e94786c3dfab387335,"3_safe.sol,3_safe_attacker.sol,safe",5000000000000000000,7000000000000000000,3000000000000000000,1000000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x7E4038a10b8687EAc319a664cb73773Cd3aafDc2,0,241092,240566,0x8f088f920000000000000000000000006b718ef5cc7cc9c36abf67170bd1e9c76882d36f,0x4ca9d332204cc070b3d151c384a2e0e42147206e32d8ca91f717e17914d65218,"2_safe.sol,2_safe_attacker.sol,safe",5000000000000000000,7000000000000000000,3000000000000000000,1000000000000000000
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x194249a11D25820575964732D4Ac783DE8AE3D1b,0,761931,739944,0x8f088f92000000000000000000000000112e7e14d853616b6265c8778da6ea14dd493673,0x2a3ed2715debe90e9aa4c7a45d57a7a230520c51b1427112e8baab79a1a42480,"4.sol,4_attacker.sol,vul",5000000000000000000,0,3000000000000000000,8000000000000000000
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x17104D098CEf4121D01cFaF7c4cDd2efC79671f3,0,384003,326502,0x8f088f9200000000000000000000000023d67de485895b80691bdce107a2fe44e821c8d3,0x7edf1c9708351da66d79666a7b6d5421869ac08e519ae68e3f169788205bf1b2,"3.sol,3_attacker.sol,vul",7000000000000000000,8000000000000000000,3000000000000000000,2000000000000000000
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xCeCD54688c33Fb76BCE24C732AD0E4d1c59ff098,0,310505,307006,0x8f088f92000000000000000000000000112e7e14d853616b6265c8778da6ea14dd493673,0xb0eb8a19997407507a020acbc2407550007ebfd45a541b5c6c6b879910a8b88a,"4.sol,4_attacker_benign.sol,safe",5000000000000000000,,3000000000000000000,
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0x612cCe50009b27C6AcbB09522F6c51e0ADc9D1A1,0,304415,303888,0x8f088f920000000000000000000000003e14af473cca0da1687d634e35ff9d1782dd9966,0xef6a07a061847034daa41b125a8e4979b75ae0473bb2bb224eaaf6b67e4a502c,"4_safe.sol,4_safe_attacker.sol,safe",,7000000000000000000,,1000000000000000000
