from,to,value,gas,input,tx_hash,fuzz_string
0xA3D57cDD628989F65468b102927a2595DE8F4AEA,0xa4d0680F0dFfD18f857939197414759B47133155,0,326163,0x8f088f920000000000000000000000009b689638f61ea6f9f05287887d9534fa57d5d02c,0x088e0c431eb912fc6825d4454fd4235f8f74fafcbb1d37b70e441561cf3fb438,"1.sol,1_attacker.sol,vul,1"
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x840f17E8BFA2B5e41DC9fFc4575AB78BdD7A933b,0,66939,0x8f088f92000000000000000000000000145180440918693c67f2ec038fdc894a2892cc4b,0xcacd59cb7796d1e8bcc7c8e125b9b4c4c47a00fd8b17d243cbf39b780022bba2,"1_safe.sol,1_safe_attacker.sol,safe,2"
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x96222aAFB304Ea808249a0C71cD062fb0064a741,0,103224,0x8f088f920000000000000000000000002b71794b2b0977dc790542f19dbad20facaaad4e,0x41e7a493b5d618f506f1ccea24968271fe92ce1720876d92488439b753a24d28,"1.sol,1_benign_attacker.sol,safe,3"
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x96222aAFB304Ea808249a0C71cD062fb0064a741,0,103224,0x8f088f920000000000000000000000002b71794b2b0977dc790542f19dbad20facaaad4e,0x41e7a493b5d618f506f1ccea24968271fe92ce1720876d92488439b753a24d28,"9_safe_1.sol,9_safe_1_attacker.sol,safe,24"
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0x0237d40C7F732a07684740F21c603E837c913692,0,66939,0x8f088f92000000000000000000000000fe1fab3fd121c7020e69049ce8f82803d0f3fb91,0x6b5c12b751792983219d19589007e7f55e714b59c8379b765cbb47a823dbe694,"1_safe.sol,1_safe_attacker_benign.sol,safe,4"
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0x7319cADdA7981fB44AE7F2B1e0833a7ba4Cb1e4D,0,1694435,0x8f088f920000000000000000000000000ccebafd85b21d31450b032015b8e5032d72930c,0xae2c56c87ee2992f3b87023e8d2c64a292542bb8fd8578f013995691185a3fe6,"2.sol,2_attacker.sol,vul,5"
0x2ba8F20Ae57D9F981741394A4F531C2D0e63717d,0xd5708E17b94874a18650d18a18f80ad581fD70d4,0,418837,0x8f088f92000000000000000000000000debf9a0c9f138854a6ade813d5300e2611ad94a9,0xf7c426e313e7f80eae9237be3a2cf661cbbaffd62ac4cd32298baa594aa26944,"2.sol,2_attacker_benign.sol,safe,6"
0xeb9C44CBB771Db9736D6fFe15fee919554c5Eb56,0xae7fc915F128b70B88468cC64D78927a065C7748,0,537059,0x8f088f9200000000000000000000000022b9c911e5fc6cc79201d441ea083a4748ac9a58,0x08ef3009f032b23f4b908daa3dee191cf3ea192ed200176026e6851ed83bcc8f,"2_safe.sol,2_safe_attacker.sol,safe,7"
0x66a01D01FDBaa979fdde20CBc852b3aDC5e1F3c7,0x09bEFa535a284b668A1183F698d65dc2D87EeAf8,0,343684,0x8f088f92000000000000000000000000421346b49f1a2039863e70b092427bcb42ff3b4e,0x0891da692a62ae11097a2554eb707679c76ffbcfd878d410d5b1d2189f5d6c7f,"3.sol,3_attacker.sol,vul,vul,8"
0x52503d5F66B6D9FB8731fDc38f60a7aa545cA378,0xd0804fac472d0fBCf6bBeF3B2153b919C7a49c15,0,118615,0x8f088f92000000000000000000000000240ddd87bf18d7d553d63664fef21935639d1160,0xc0d82276c0d43c822bc2be841b77aad673d0b58b4fcd541dece906f309ec5797,"3_safe.sol,3_safe_attacker.sol,safe,9"
