,tx_hash,gas_used,victim_balance_delta,attacker_balance_delta,label
0,0x08b432d14aa8e1c3b3fe371089debc73d3ec1449ad0ea255039929f1bb48ce5d,144369,-90000000000000000000,0,safe
1,0xf680183493cd0ffe0a2c4c81e7dd24c93f51b0b203a660701695142cbec3d4ee,492191,75000000000000000000,15000000000000000000,vul
2,0xff6177bd03b585b0f679e9271c3fa6c8a75943d2d7bad5dcdfcfc122b1cc684a,144369,0,0,safe
3,0x55439defad2095b6e4fc15cbee046c75456b590e3616019d74724189bcefdfa4,144369,-90000000000000000000,0,safe
4,0xefefa5359fb6ba0d3796bf70b6c01d69ab789d7cee276c6cb845c8dee8732466,435413,78000000000000000000,12000000000000000000,vul
5,0x66e83c92bf76ac105ff05affd801675cc50fa3b74433810726db10d89cbd6159,144369,0,0,safe
6,0x3bdd3ff2ad618c7d2a7e2f627300fa30bafe11eb0b978b001c38c0e2ada561fe,144369,-90000000000000000000,0,safe
7,0xb8a22cff0366b4e51eb303aedd21a5f6d5965c15f826299266a900fd3c9d1a83,302196,-27000000000000000000,27000000000000000000,vul
8,0x171df5526a09f0c6420a043ccc73f0686dee8127513dc7aa7ee8402658be36af,321857,84000000000000000000,6000000000000000000,vul
9,0x035abf84d132d38f9b5080eb15874f86fabc1a1443274a7a75cd0ed9d0a0cf3a,225983,-94500000000000000000,4500000000000000000,safe
10,0xfb9ed1eee1d94fd68043225ee21e95209ef35e0f55602551e78ce3da0c34b27b,342346,46000000000000000000,44000000000000000000,vul
11,0x9508e228df279d1d1fd000b03bf0bb9b5dadcb106a9078b0df50b0858aa69856,225983,-94500000000000000000,4500000000000000000,safe
12,0x1660251acc1b6f979bd14bf2d7906e5db9774405fbfe4b07a7e0cfc36ab90eba,371717,76000000000000000000,14000000000000000000,vul
13,0x11e72876a8a1c61f99f2760a2d17dd218063beaf54f51803de6431922d20a326,225983,-94500000000000000000,4500000000000000000,safe
14,0xf8b393425b561e58f8df3dc711c3722fc5625854a8ace43455acedc50b75199a,492191,-15000000000000000000,15000000000000000000,vul
15,0x0d7e742d0ae660522e39a9db4e1c5e00779ff2e821920c8df0265f346b38df81,273524,88500000000000000000,1500000000000000000,vul
16,0xcead3d92ec3fcd701b3c9fae635e3e3054d61ff8aa22dad1854f5b0c83b8769a,225983,-4500000000000000000,4500000000000000000,safe
17,0x75c72ec8b743df58e49318f32942c6310a079195bdd5bf688244ce7524cc91b3,225983,-4500000000000000000,4500000000000000000,safe
18,0x15ccbb0d2caf379c68360c564729d787b1b9039662e2aef46f180911ad4682e0,172953,0,0,safe
19,0xa01c570fb835ee497994ddcb63d3c3c78db4b01fe27009ea68e7089d414bfcbe,172953,-90000000000000000000,0,safe
20,0x07a68c7e538ae6434c8010ac383d6ce6b61e213bbe42ca4c5ac418bfb2f2dfa9,342346,-22000000000000000000,22000000000000000000,vul
21,0x91300951b71fb7ec00d724461ee3e66093fd94de5e38295eec7f580e8acc7ad6,656729,45000000000000000000,45000000000000000000,vul
22,0x5372e72d8b2fac28e489bdd0d3285a2019854c77a88cfd63f8391ccc077e8f2f,172953,-90000000000000000000,0,safe
23,0x422eb0f9feb6909b3a8b895185251513d9e7f4e70b5616d9216448b9de63e17d,333356,-10500000000000000000,10500000000000000000,vul
24,0xb80b8a6548e5815f36f7db33f993c0404ca78e91fdd692b3a6e909d05a1f6282,548969,-18000000000000000000,18000000000000000000,vul
25,0x19c998246a52830b5c800573ba9a583704e41e8ea594973715e172ed65dc8489,601883,55000000000000000000,35000000000000000000,vul
26,0x4598726c89af9094eb01d2957885f584d31c252b8e5cfed1f1e9dbc5ee54b4d9,144369,0,0,safe
27,0xdce250f638907077c227a863afd0761ff2b843b24e3703d83482abfdb22194e0,172953,-90000000000000000000,0,safe
28,0x37572d633108ed002a67bd3fc0741c5a8894cd95d3d1a6009ca71b2549fb2891,342346,-22000000000000000000,22000000000000000000,vul
29,0x5e837c26c28b577ee44883d1e76b81285ba699588920a44a82d2f159c45631c6,342346,46000000000000000000,44000000000000000000,vul
30,0xe993460cba8752547816257129920fd7fa3248120aae75383261a0988cd96aed,144369,-90000000000000000000,0,safe
31,0x88a85263b6683d97e10e36a4059b7874a7df16008a4d71bd3a4e910951fe16be,382496,51000000000000000000,39000000000000000000,vul
32,0x92a04b5d1e212dd8d98ef535f945d9f6bde85b93c8cb7cc48e5428fd159f7978,144369,0,0,safe
33,0x2ceddc355d11725f136f811e231eb3885410c5483c00d2698d80ccbc9af2a361,172953,0,0,safe
34,0xd85dee5606fb1ee32c520d1a7fd0cdc7bba309b2147f5c0328a099b4a152b2f5,144369,-90000000000000000000,0,safe
