from,to,value,gas,gas_used,input,tx_hash,fuzz_string
0x438af5e7f534638919D68665F941392C19c255a7,0x1Bf041DCE494A5BEa244e7621299235B5Eb4De4F,0,3000000,201295,0x8f088f920000000000000000000000001bf041dce494a5bea244e7621299235b5eb4de4f,0xb908da6a7e43e4039abbf74abf49ae2b5a4e7ff1b39353aef8fdbedda6116ce8,"safes.sol,safe,27"
0x42De190B78f2415eFbf7bF077D465a1Ad2dd3383,0x36AB9A4a3D7E6A9D34bDf9eC06f6F96183807Ba7,0,3000000,262046,0x8f088f9200000000000000000000000036ab9a4a3d7e6a9d34bdf9ec06f6f96183807ba7,0x744064a647b731c4cf957322075cdc925ac51270e9b56b4580fbd0f080833ba9,"vulnerables.sol,vul,26"
0x0d38744B4Dd3C57eD4bF73382FCa33D89285f2Ee,0xEFabc095cAa968c20f778BB586840e584C1131E5,0,3000000,201295,0x8f088f92000000000000000000000000efabc095caa968c20f778bb586840e584c1131e5,0x8714db4afedb77f7c582aa71eedbeb1e82d99cb8f7e82669997481e4d56b0d3a,"safes.sol,safe,29"
0x6a25F4dCeDe04725920BaBdc2273201C00704314,0xd5Dc953557DC8F7799c8E9Ced601e3d3F70920b0,0,3000000,273524,0x8f088f92000000000000000000000000d5dc953557dc8f7799c8e9ced601e3d3f70920b0,0x672f82c2394a37ca2842198d9210bc11c77110bd26f74219a54578cc1d516676,"vulnerables.sol,vul,28"
0xe414C152B010e2c15949075b2CD3A2772D7f17ae,0x2c10FE2B7127d2300c263D9FC991022a7432Dc9D,0,3000000,172953,0x8f088f920000000000000000000000002c10fe2b7127d2300c263d9fc991022a7432dc9d,0xec71cf5d16e447b5c12933b9c1c13e1691558ea56c1705bfc125e3a51366c7e4,"safes.sol,safe,31"
0x727E829b0A5adA81c04b97a7d65b56DA8c790CC5,0xe5223849c994b7772bc9e2a0cFAb82d41f801FA3,0,3000000,262046,0x8f088f92000000000000000000000000e5223849c994b7772bc9e2a0cfab82d41f801fa3,0x46781740a4967ec7bb612a78a6652123e6046438ba83ebbe2e6d834894c60904,"vulnerables.sol,vul,30"
0x4215D0c7697660F8B61A6F060F748C8493ac29Da,0x54aB90E6238f6B13D86484FDf76148Df8D4457f3,0,3000000,830117,0x8f088f9200000000000000000000000054ab90e6238f6b13d86484fdf76148df8d4457f3,0xdd7cfca28383b8341356d7cc2927d2ebb4fdd5d041ed8acfb83f72aa13665f33,"vulnerables.sol,vul,33"
0x45064356B30e1a528aBE9a3589CfE12b77C93A5F,0xc22e8A6770815D106f3873e2370B2Ad88Be28f4B,0,3000000,172953,0x8f088f92000000000000000000000000c22e8a6770815d106f3873e2370b2ad88be28f4b,0x06dd1d149bdaefcc83ae8cd5dc85d8ac89ba20de19ea9924c4786ec01686299b,"safes.sol,safe,32"
0xFb503443aA4702A5E492FcB2218ad79A73040a46,0xEAC49012008a18Bf9e62565D0b9C54476984968c,0,3000000,225971,0x8f088f92000000000000000000000000eac49012008a18bf9e62565d0b9c54476984968c,0xcb0b3d8ec3fccceb170e2738e0fbc6cd90822fabc128ec4ab65258ae5ae35a76,"safes.sol,safe,35"
0x6fF04ab3A44B96d5C74717Cae9558a36D128BC10,0xB3E829C991473b88b2c5b8ef65C5A3F0727E7188,0,3000000,221896,0x8f088f92000000000000000000000000b3e829c991473b88b2c5b8ef65c5a3f0727e7188,0x8f7471d02a35c5d4745444e53af53f13383add10374b558c8b2f90a0b686c1b9,"vulnerables.sol,vul,34"
0x72b98D2A60F9142343FB8556a78bb5e8a6CDc2f9,0x8B8BC2918037D243e42E7e26DdAc5e937f570929,0,3000000,382496,0x8f088f920000000000000000000000008b8bc2918037d243e42e7e26ddac5e937f570929,0xf1bbf6dc647a6703d61c93b047f21c747243acc97eee438738cee6f667420164,"vulnerables.sol,vul,37"
0x05721F08311B35e1B0705CC226cE0405626B0b7c,0xcc53648312F42d46371068A732446a9217f3Fa60,0,3000000,201295,0x8f088f92000000000000000000000000cc53648312f42d46371068a732446a9217f3fa60,0xb3f6809bb036e67e0e43e34625e5a3e799b49a814f0b2d2f97942d84d4968505,"safes.sol,safe,36"
0x5BC922144Fc164ab095f7118Bda41605B3EF1C43,0x8Bb422646A30Fb11B661B80082d50446729b4b7c,0,3000000,302184,0x8f088f920000000000000000000000008bb422646a30fb11b661b80082d50446729b4b7c,0xa6aa25a065d3a250b63c8539e4e3e1313254b5cbd1b5c87e9f122cd918259b38,"vulnerables.sol,vul,39"
0x4aF57f4bC596A29eda688c2B66630176c9E30c07,0xF4E460123eE93169A6c90E3fe4039de06fb376A4,0,3000000,201295,0x8f088f92000000000000000000000000f4e460123ee93169a6c90e3fe4039de06fb376a4,0xe218fca1756148d92dbde88e01a2ca3ec93a0b0cee8e2870a6a99d4e327e19e5,"safes.sol,safe,38"
0x1d617204CDc70280a0e31A2Eb609a4Ea62f01eB7,0xe3614d5669Ba6ca18A49d42E8272Ad93D6a7d61c,0,3000000,302196,0x8f088f92000000000000000000000000e3614d5669ba6ca18a49d42e8272ad93d6a7d61c,0x29d070ebfe1672ad6c5c34fa7c7dd1d7775817b8e115aba35d924fe9c2c744f6,"vulnerables.sol,vul,41"
0x50347d02D0B5E0ce25A082587eD6a8CD7A734De3,0x528D4e96520DD8B244151e849FAB6B394AAA4620,0,3000000,170621,0x8f088f92000000000000000000000000528d4e96520dd8b244151e849fab6b394aaa4620,0x12f083fb7d8477d29c6e29a641ee0793b581a10949320c7bd8906fa9354ee533,"safes.sol,safe,40"
0xdD418A4B0C02e819F70E8d7d83b0FA38B42Fe5bC,0xA1D78081f83389E023Ba8a3D48F26Aa2a60A82b0,0,3000000,492191,0x8f088f92000000000000000000000000a1d78081f83389e023ba8a3d48f26aa2a60a82b0,0x29560536f541bd20c0aeee423fcde16f758fc372e74b9441c60b6ede29fe2569,"vulnerables.sol,vul,43"
0x3531147229Ad733506d166b26e3475dA30D61131,0xe96CB653ea59F90EF2CA8d1f6CBf1cb196443b58,0,3000000,225983,0x8f088f92000000000000000000000000e96cb653ea59f90ef2ca8d1f6cbf1cb196443b58,0xf234f0723436f6fd54d8e50dc82e7387fb3a843e88a1ceae019df09a5d8c3d1b,"safes.sol,safe,42"
0x61450826c44dB3a94a30BEe81c7769327315309E,0xbD8eF5A6A2BD71b2D01e4a5817Be158cB6790730,0,3000000,144369,0x8f088f92000000000000000000000000bd8ef5a6a2bd71b2d01e4a5817be158cb6790730,0xa837aac2ec804ac3f87e1640021c78261edc0e0870536544ce9ed3029e0bb488,"safes.sol,safe,45"
0x49341860B8d5a390386D8d32C42e7b716E7dD06c,0x0C289F1Cd65a548d8b2Ff01a333AE32021f4bc4b,0,3000000,743423,0x8f088f920000000000000000000000000c289f1cd65a548d8b2ff01a333ae32021f4bc4b,0x14039b7a069b93525672c79ab6e7bc679b14ef795cfb015be3242febd63d187e,"vulnerables.sol,vul,44"
0xe7f3C5895b581A93BE511C84e16814de8eA21709,0x07134810e9fE25bBd147477cd96adf78e48582dc,0,3000000,144369,0x8f088f9200000000000000000000000007134810e9fe25bbd147477cd96adf78e48582dc,0xff4dc2d16d2d604b24d9f1efd7229200c00d37b361a474fa1a705cff5e7463ad,"safes.sol,safe,47"
0x67Bc47EF8E60A860AFEC284eEffb2466317C538C,0x2575D569AB57F1e96730726B1B45553468260a11,0,3000000,743423,0x8f088f920000000000000000000000002575d569ab57f1e96730726b1b45553468260a11,0xffed260846589573ec27619006195b7841fea4ad72ba4ebc8880f3451698918b,"vulnerables.sol,vul,46"
0xB8c3E768bb96d1762D797dfb8Fd3b1a52a2c9436,0x077a07Bef97fC0c44E37a53a101e2cBB1161e6e5,0,3000000,321857,0x8f088f92000000000000000000000000077a07bef97fc0c44e37a53a101e2cbb1161e6e5,0x13b9adbae3c3429a713ad1526d865d5c74c97f09e9c8bf52009414f8415cfa3e,"vulnerables.sol,vul,49"
0x9bAcfE10349C041168A449b4Ec99290950888e1D,0x639B35e648697B3646712329D7fBd0830676C4ef,0,3000000,225983,0x8f088f92000000000000000000000000639b35e648697b3646712329d7fbd0830676c4ef,0xa62761f455d637180a6dd0e094b1369cd3328197b62df451e8985aa4ccabfb86,"safes.sol,safe,48"
0xFf823815Bb125856DB725FF98842942dCe94c110,0x23F9656f6fDaCe6feaD6e97A0329FDD01B4ef607,0,3000000,321857,0x8f088f9200000000000000000000000023f9656f6fdace6fead6e97a0329fdd01b4ef607,0x6723c8d2178dd061b48869386a7a342f2cd5353251a8f1159d0ba963cafbe8ef,"vulnerables.sol,vul,51"
0x4AE5A6dFEBA48D1e3826C943F81B9d28D0A9B3D7,0xc26c3856C7f163f60aa86eAE845375e640D797c3,0,3000000,199205,0x8f088f92000000000000000000000000c26c3856c7f163f60aa86eae845375e640d797c3,0x5676e098aee8c0bc41d31bee11dbd05fb3dcaf537d3dfc108ba23e0c3848d259,"safes.sol,safe,50"
0xb2e5FccF9Af803249478Fe6aeed177c9A7cac90b,0x79f115f66ef37fE77a9a105EaE18Bef8c9c9078d,0,3000000,225983,0x8f088f9200000000000000000000000079f115f66ef37fe77a9a105eae18bef8c9c9078d,0x4ab9aeb69745ef22683c900da80fd99bd48c3b62d7a7815c11cf8459ab436c66,"safes.sol,safe,53"
0x11e875f1dB1e7B6aA22e565BaFD5FF2F5e01f7db,0x06cF1a4578C01a14a407593615b2E7877E3AB006,0,3000000,342346,0x8f088f9200000000000000000000000006cf1a4578c01a14a407593615b2e7877e3ab006,0x9fa4b886ad94e5f56ba10f1a9ea4cc43e499f592fd35bfac8a4f5f61fad8efd1,"vulnerables.sol,vul,52"
0x610F7E9d3A700AC4a60Ba94baDD3C9450eeed298,0x2511637e46C835CDc5656e7d92C3958eeEe4A0e9,0,3000000,225983,0x8f088f920000000000000000000000002511637e46c835cdc5656e7d92c3958eeee4a0e9,0x791547978fb32ca79670665fb2c998044d5aa96982938363c917b24e16cf7e42,"safes.sol,safe,55"
0x6bb44cC0b2Cf0BA19AE8771C39F02d53116ddB93,0xf54f49dabB0D48ebE1F7185a6Dc31f86A672364A,0,3000000,130796,0x8f088f92000000000000000000000000f54f49dabb0d48ebe1f7185a6dc31f86a672364a,0xb5cb8a498927bc029979aa9bc86479a454a927f227bc49a1a73319f416715616,"vulnerables.sol,vul,54"
0x6a2346fA663aED87e432E333CC3CF152BBd718e8,0x3B23D84D445Ef4bDaCdF4161D122D91832040BEF,0,3000000,144369,0x8f088f920000000000000000000000003b23d84d445ef4bdacdf4161d122d91832040bef,0x8208c4e9fe9518a43c6445d985587df7b7c93f5dc756b9c2b1be02633955eda0,"safes.sol,safe,57"
0x1d10D23477BaC614eb5cAD6B21dc8F158b8010A8,0x31D253431f51a76095E88f610Cc962ea2108a3e9,0,3000000,162546,0x8f088f9200000000000000000000000031d253431f51a76095e88f610cc962ea2108a3e9,0x293673b1f6e6ae331c0876add0cc75b425d22f300be797fa9df1b8b17924c75a,"vulnerables.sol,vul,56"
0x9c92deB37c99FdE9b30aF2280197dd7c8E4f8783,0xa5dF583fb06A9016c9c8b84dc3EedB2fcD5103e6,0,3000000,225983,0x8f088f92000000000000000000000000a5df583fb06a9016c9c8b84dc3eedb2fcd5103e6,0xf77c0515ad1226b5c592c147c959ffaa218263a8d3daed1f8e048ea5c0638779,"safes.sol,safe,59"
0x23579D637Dc0eB7baBc4660A4DF6513c21006eD6,0xf16DFc81D4bDDb6eaa8eC55364dB1f3E4A5E5a65,0,3000000,680537,0x8f088f92000000000000000000000000f16dfc81d4bddb6eaa8ec55364db1f3e4a5e5a65,0x8fa194a5a2c7a1efc4430bed95b22739b6f2076154ec828abf900594b903b335,"vulnerables.sol,vul,58"
0xb72FF74D70E938BA05141587DC1134F18Aa41fA8,0x89792a8405564Ea9d28417131E5Bda2CCDE2F6E6,0,3000000,170621,0x8f088f9200000000000000000000000089792a8405564ea9d28417131e5bda2ccde2f6e6,0xd421937a111902b0cfc2e51397153119c6dc5f606418bf0cd56c01b41b152996,"safes.sol,safe,61"
0xc5116893d4d80A756B7796269a23425c52B37439,0xB696cF3390E2e517303B8dC0784954Ea926AeD43,0,3000000,484151,0x8f088f92000000000000000000000000b696cf3390e2e517303b8dc0784954ea926aed43,0x954f5599e90292e31bf090980d3439721857ed4e75ee64895edacd44d657a21b,"vulnerables.sol,vul,60"
0xdA3Ab035516336a828E6De192Fc33ddE3bceA9ED,0xeD8e9BF5F885DA4E73D7AD923C54E44c8132d938,0,3000000,382496,0x8f088f92000000000000000000000000ed8e9bf5f885da4e73d7ad923c54e44c8132d938,0x257b0af60fe56c0ec5f9a6cf3ac91f979269cc764bc0ae78fbf2d40054d4d028,"vulnerables.sol,vul,63"
0xb0492d7dCd67E8882Bfc9Ae351dC6c40a1978bB5,0xf1545C27d2c98E5CCfAc28aee6f2463f965C7739,0,3000000,170621,0x8f088f92000000000000000000000000f1545c27d2c98e5ccfac28aee6f2463f965c7739,0xf12ecfb5aa0ee5fdb0beda0c0f65b5e4dfd81c5e169d736c6555c4071348b804,"safes.sol,safe,62"
0x92dF878fb79547891dd2B5e07033902a0620b4e3,0xA204231E88a7426fc95219Dd2C7F5Bb493d136a4,0,3000000,353300,0x8f088f92000000000000000000000000a204231e88a7426fc95219dd2c7f5bb493d136a4,0xd66b5f9bf13517e09f27018db311beabfbee358863428b68a0748c51a950c643,"vulnerables.sol,vul,65"
